MR	D660	08.04.2016	YES	22.03.2018	DS	CXCL12b,kdrl:gfp +/- incross	sdf1b	cxcl12b 84	
KT	D661	12.04.2016	YES	21.03.2018	JP	target 4, male 2, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D662	12.04.2016	YES	21.03.2018	JP	target 4, male 1, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D663	12.04.2016	YES	23.03.2017	JP	target 5, male 4, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D664	12.04.2016	YES	23.03.2017	JP	target 5, male 3, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D665	12.04.2016	YES	23.03.2017	JP	target 5, male 2, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D666	12.04.2016	YES	23.03.2017	JP	target 5, female 1, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
TL	D667	13.04.2016	yes	19.04.2016	AA	cxcl12a:cxcl12a-venus-3’UTRcxcl12aF0		133	
TL	D668	13.04.2016	YES	21.02.2018	AA	cxcl12a:cxcl12a-venus-3’UTRcxcl12aF0		133	
Antonio	D669	13.04.2016	YES	29.01.2019	Antonio	Mettl3 Δ6 (mix +/+, +/-, -/-)	Mettl3Δ6	Mettl3Δ6	
JB	D670	13.04.2016	YES	07.07.2017	JB	AB x TL			
KT	D671	20.04.2016	YES	27.02.2018	KT	+/- incross	ca15b	ca15b	
KT	D672	20.04.2016	YES	20.12.2017	KT	line 1 SOD2 CRISPR x CldnBEGFP, cry:EGFP-F-nos, cldnb:EGFP	sod2	sod2 18 /24	
UJ	D673	21.04.2016	YES	07.08.2017	UJ	WIK			
UJ	D674	21.04.2016	YES	16.10.2017	UJ	WIK			
TL	D675	21.04.2016	yes	11.11.2016	AA	kop.mTFP1-Septin9a. nos 3’ UTR; cmlc EGFP x kop:lifeact-mCherry.nos-cry.DsRed      F2		106 /118	
AO	D676	20.04.2016	YES	11.07.2018	AO	cry:kop lifeact-GFP.nos / Tol2.Kop.mCherry Extended Synaptotagmin 2al. nos 3’ UTR. cmlc EGFP F2s L1		38 /100	
AO	D677	20.04.2016	YES	11.07.2018	AO	cry:kop lifeact-GFP.nos / kop mCherry Clip170 H nos 3’ UTR; cmlc EGFP F2s L1		38 /101	
AO	D678	20.04.2016	yes	29.05.2016	AO	cry:kop lifeact-GFP.nos / Tol2.Kop.mCherry Extended Synaptotagmin 2al. nos 3’ UTR. cmlc EGFP F2s L1		38 /100	
AO	D679	20.04.2016	yes	29.05.2016	AO	kop.YPet.Ezrin.nos3’UTR.cmlcEGFP 		99	
JB	D680	21.04.2016	YES	08.07.2016	JB	dazl mut#2 x incross x ZIWI GFPx kop:mCherry-f nosx hsp:MOresDazl-dazl3’UTR	dazl	dazl 33 /36 /87	
TL	D681	22.04.2016	YES	21.02.2018	AA	Cry;kop:Lifeact-EGFP-nos3’UTRincross of hets  line 2		38	
AO	D682	22.04.2016	YES	12.12.2018	AO	Tol2 Kop.mTFP1-Septin9a. nos 3’ UTR; cmlc EGFP F2 line 1		106	
AO	D683	22.04.2016	YES	12.12.2018	AO	Tol2 Kop.mTFP1-Septin9a. nos 3’ UTR; cmlc EGFP F2 line 1		106	
AO	D684	22.04.2016	YES	12.12.2018	AO	cry EGFP-f nos / Tol2 Kop mCherry Clip170 H nos 3’ UTR; cmlc EGFP F2 L2		24 /101	
AO	D685	22.04.2016	YES	12.12.2018	AO	cry EGFP-f nos / Tol2 Kop mCherry Clip170 H nos 3’ UTR; cmlc EGFP F2 L2		24 /101	
KT	D686	27.04.2016	YES	15.01.2018	JP	target 4, male 2, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D687	27.04.2016	YES	21.03.2018	JP	target 4, male 1, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D688	27.04.2016	YES	22.03.2017	JP	target 3, female 2, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D689	27.04.2016	YES	23.03.2017	JP	target 3, male 1, crossed to AB, cry:EGFP-F-nos	hsp90	hsp90 24	
IH	D690	28.04.2016	YES	07.07.2017	IH	ABxTL			
IH	D691	28.04.2016	YES	07.07.2017	IH	ABxTL			
IH	D692	28.04.2016	YES	07.07.2017	IH	ABxTL			
IH	D693	28.04.2016	YES	07.07.2017	IH	ABxTL			
IH	D694	28.04.2016	YES	29.08.2017	IH	ABxTL			
IH	D695	28.04.2016	YES	07.07.2017	IH	ABxTL			
IH	D696	27.04.2016	YES	07.07.2017	IH	ABxTL			
AO	D697	29.04.2016	YES	19.01.2018	AO	kop.YPet.Ezrin.nos 3’ UTR.cmlc EGFP		99	
TL	D698	29.04.2016	yes	15.06.2016	AA	kop.YPet.Ezrin.nos 3’ UTR.cmlc EGFP x kop:lifeact-mCherry.nos-cry.DsRed F2		99 /118	
TL	D699	29.04.2016	YES	20.10.2017	AA	kop.mTFP1-Septin9a. nos 3’ UTR; cmlc EGFP;kop:lifeact-mCherry.nos-cry.DsRed   F2		106 /118	
Antonio	D700	29.04.2016	yes	22.10.2016	Antonio	Mettl3 Δ4 mix +/-  +/+ (F2)	Mettl3 Δ4	Mettl3 Δ4	
Antonio	D701	29.04.2016	yes	27.07.2016	Antonio	Mettl3 Δ5  mix +/- +/+ (F2)	Mettl3 Δ5	Mettl3 Δ5	
JB	D702	02.05.2016	YES	03.06.2016	JB	dazl mut#2 x incross x ZIWI GFPx kop:mCherry-f nosx hsp:MOresDazl-dazl3’UTR	dazl	dazl 33 /36 /87	
DH	D703	02.05.2016	YES	17.10.2018	AG	dazl mut#2x ZIWI GFP	dazl	dazl 24 /36	
KT	D704	12.05.2016	YES	27.02.2018	KT	Ca15b (sa17825) +/- incross	ca15b	ca15b	
KT	D705	12.05.2016	YES	11.07.2017	KT	Ca15b (sa17825) mCherry_f_nos +/- incross	ca15b	ca15b 57	
SY	D706	12.05.2016	YES	09.06.2017	SY/LT	odyJ1049 +/-; tg(gsc:EGFP) +/- - outcross -	ody	ody 6	
LT	D707	12.05.2016	YES	09.06.2017	SY/LT	odyJ1049 +/-; tg(kop:mCherry-F’.nos, cmlc:EGFP) +/- - outcross -	ody	ody 57	
JB	D708	20.05.2016	YES	12.06.2017	JB	Dazl +/- incross x ziwi GFPx kop.F-EGFP.nos	dazl	dazl 36 /87	
DH	D709	20.05.2016	YES	12.06.2017	JB	Dazl +/- incross x ziwi GFPx bactin:H2AmCherry	dazl	dazl 36 /40	
TL	D710	14.05.2016	YES	21.02.2018	AA	cxcl12a:cxcl12a-venus-3’UTRcxcl12a		133	
IS/MR	D711	19.05.2016	YES	22.03.2018	DS	CCR7-/-	CCR7	CCR7	
DS	D712	19.05.2016	YES	20.06.2018	DS	CCR7-/-, Gsc:GFP homozygous	CCR7	CCR7 135	
SY	D713	18.05.2016	YES	09.06.2017	SY/LT	odyJ1049+/-;tg(gata:EGFP)+/-- outcross - 	ody	ody 111	
TL	D714	18.05.2016	YES	21.02.2018	AA	kop.YPet.Ezrin.nos 3’ UTR.cmlc EGFP x kop:lifeact-mCherry.nos-cry.DsRed F2		99 /118	
TL	D715	24.05.2016	YES	20.10.2017	AA	kop.mTFP1-Septin9a. nos 3’ UTR; cmlc EGFP x kop:lifeact-mCherry.nos-cry.DsRed   F2		106 /118	
KT	D716	24.05.2016	YES	21.03.2018	JP	F1, Crispr4, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D717	24.05.2016	YES	03.12.2018	JP	F1, Crispr4, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D718	24.05.2016	YES	15.01.2018	JP	F1, Crispr4, cry:EGFP-F-nos	hsp90	hsp90 24	
KT	D719	24.05.2016	YES	15.01.2018	JP	F1, Crispr4, cry:EGFP-F-nos	hsp90	hsp90 24	
SY	D720	26.05.2016	YES	09.06.2017	LT/SY	odyJ1049 +/-; tg(gsc:EGFP) +/- - outcross -	ody	ody 6	
AO	D721	25.05.2016	YES	11.07.2018	AO	Tol2 Kop mCherry Clip170 H. nos 3’ UTR; cmlc EGFP L1 F2s		101	
IS/MR	D722	29.05.2016	YES	10.01.2018	DS	incross 100% CXCR4a-/-	cxcr4a	cxcr4a 84	
Antonio	D723	28.05.2016	YES	13.08.2018	Antonio	Ctu1 Δ8 from D406#4	CTU1 Δ8	CTU1 Δ8	
TL	D724	31.05.2016	YES	09.11.2017	AA	kop:lifeact-mCherry.nos-cry.DsRedincross of F2s line 2		118	
Antonio	D725	31.05.2016	YES	29.01.2019	Antonio	Mettl3 Δ4 from D271#13 (Het)	Mettl3 Δ4	Mettl3 Δ4	
Antonio	D726	31.05.2016	yes	06.12.2016	Antonio	Tyrosinase gRNA (F0)			
Antonio	D727	31.05.2016	yes	06.12.2016	Antonio	Albino gRNA (F0)			
IS/MR	D728	08.06.2016	YES	22.03.2018	DS	CXCR4a-/-,kdrl::gfp X  sox17 egfp +/+ fish	cxcr4a	CXCR4a 84/68	
IS/MR	D729	08.06.2016	YES	22.03.2018	DS	CXCR4a-/-,kdrl::gfp X  sox17 egfp +/+ fish	cxcr4a	CXCR4a 84/68	
Antonio	D730	07.06.2016	YES	09.12.2018	Antonio	Mettl3 Δ4 from D271#13 (mix +/-,+/+)	Mettl3 Δ4	Mettl3 Δ4	
Antonio	D731	07.06.2016	YES	21.09.2018	Antonio	CTU1 Δ8 from D406 #4	CTU1 Δ8	CTU1 Δ8	
Antonio	D732	07.06.2016	YES	21.09.2018	Antonio	CTU1 Δ8 from D406 #12	CTU1 Δ8	CTU1 Δ8	
MR	D733	14.06.2016	YES	14.05.2018	MR	Tol2. nCas9n-glob3’UTR. cmlc-EGFPstock 4    F2 outcross		96	
MR	D734	14.06.2016	yes	04.10.2016	MR	sept 7a.2; 7b.2 CRISPR (F1)	sept 7a.2; 7b.2	sept7a.2; 7b.2 	
MR	D735	14.06.2016	yes	04.10.2016	MR	sept 7a.2; 7b.2 CRISPR (F1)	sept 7a.2; 7b.2	sept7a.2; 7b.2 	
MR	D736	14.06.2016	YES	25.01.2018	MR	sept 7a.2/38 CRISPR ; kop:Lifeact-EGFP-nos3’UTR +/- 100% (F1) incross	sept 7a.2.3	sept 7a2.3/ 38	
MR	D737	14.06.2016	YES	25.01.2018	MR	sept 6,7a.2 CRISPR /Cas9; Cry:kop-lifeact-EGFP-nos (F2) incross		sept6, 7a.2/38	
MR	D738	14.06.2016	yes	28.09.2016	MR	sept 2, 7b.2 Crispr/Cas; (incross);Cry:kop-lifeact-EGFP-nos +/+ 100% (F2)		sept2, 7b.2/38	
MR	D739	14.06.2016	yes	25.09.2016	MR	sept 2, 7b.2 Crispr/Cas; (incross);Cry:kop-lifeact-EGFP-nos +/+ 100% (F2)		sept2, 7b.2/38	
MR	D740	16.06.2016	YES	17.01.2018	MR	septin 6 CRISPR ; kop:lifeact-GFP-nos3’UTR +/- %100 (F1) incross	sept 6	sept 6/38	
MR	D741	16.06.2016	YES	16.03.2017	MR	sept 7a.2; 7b.2 CRISPR (F1)Cry:kop-lifeact-EGFP-nos +/-	sept 7a.2; 7b.2	sept 7a.2; 7b.2 / 38	
MR	D742	16.06.2016	YES	25.01.2018	MR	sept 6 CRISPR/CAS9; F2 (incross);Cry:kop-lifeact-EGFP-nos +/+ 100% 	sept 6	sept 6/38	
MR	D743	16.06.2016	YES	25.01.2018	MR	sept 8a.1 CRISPR (F2)Cry:kop-lifeact-EGFP-nos 100% +/+		sept8a.1/38	
MR	D744	16.06.2016	YES	17.01.2018	MR	sept 6.1 CRISPR (F2)Cry:kop-lifeact-EGFP-nos 100% +/+		sept8a.1/38	
MR	D745	16.06.2016	YES	29.08.2018	MR	Tol2. nCas9n-nos 3’UTR.cmlc-EGFP (F3)stock 1 incross		95	
MR	D746	16.06.2016	YES	16.07.2016	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP(STOCK 3) F2		95	
TG	D747	14.06.2016	YES	02.05.2018	TG	kop.GFP-F.nos3'UTR/ cryDsRed; kop.EYFP-Gra.gra3'UTR/cmlcGFP		24 /78	
EM	D748	16.06.2016	YES	13.03.2018	EM	Med-NY054-2 -/- ; Tol-1111-EGFP-F-nos-cryDsRed +/+	med	med 24	
EM	D749	16.06.2016	YES	08.10.2018	EM	Med-NY054-2 -/- ; Tol-1111-EGFP-F-nos-cryDsRed +/- 50%	med	med 24	
SY	D750	15.06.2016	YES	10.09.2017	SY	odyJ1049; tg(kop:mCherry-F’.nos, cmlc:EGFP); tg(bactin:HA NLS tdPCP YFP globin, cryDsRed)	ody	ody 57 /92	
SY	D751	15.06.2016	YES	10.09.2017	SY	odyJ1049; tg(kop:mCherry-F’.nos, cmlc:EGFP); tg(bactin:HA NLS tdPCP YFP globin, cryDsRed)	ody	ody 57 /92	
AO	D752	17.06.2016	YES	12.12.2018	AO	Tol2.Kop.mCherry Extended Synaptotagmin 2al. nos 3’ UTR. cmlc EGFP F2s L1		100	
AO	D753	17.06.2016	YES	16.10.2018	AO	cry:kop lifeact-GFP.nos / Tol2.Kop.mCherry Extended Synaptotagmin 2al. nos 3’ UTR. cmlc EGFP F2s L1		100	
AO	D754	17.06.2016	YES	16.10.2018	AO	cry:kop lifeact-GFP.nos / Tol2.Kop.mCherry Extended Synaptotagmin 2al. nos 3’ UTR. cmlc EGFP F2 L1		38 /100	
AO	D755	17.06.2016	YES	16.10.2018	AO	Tol2.Kop.mCherry Extended Synaptotagmin 2al. nos 3’ UTR. cmlc EGFP F2 L3		100	
AO	D756	17.06.2016	YES	16.10.2018	AO	cry:kop lifeact-GFP.nos / Tol2.Kop.mCherry Extended Synaptotagmin 2al. nos 3’ UTR. cmlc EGFP F2 L2		38 /100	
KW	D757	17.06.2016	YES	06.03.2019	TG	kop.EYFP-Gra.gra3’UTR.cmlc-GFP		78	
MR	D757b	22.06.2016	YES	09.01.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP(STOCK 3) F2		96	
MR	D758	22.06.2016	YES	09.01.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP(STOCK 3) F2   +/-100% outcross		95	
ZL	D759	21.06.2016	YES	15.08.2019	ZL	pax8: dsRed 		137	
SY	D760	22.06.2016	YES	01.01.2018	SY	odyJ1049; tg(kop:mCherry-F’.nos, cmlc:EGFP); tg(bactin:HA NLS tdPCP YFP globin, cryDsRed)	ody	ody 57 /92	
SY	D761	22.06.2016	YES	05.06.2018	SY	odyJ1049; tg(kop:mCherry-F’.nos, cmlc:EGFP); tg(bactin:HA NLS tdPCP YFP globin, cryDsRed)	ody	ody 57 /92	
EM	D762	21.06.2016	YES	26.10.2018	TG	Med-NY054-2 -/- ; Tol-1111-EGFP-F-nos-cryDsRed	med	med 24	
MR	D763	28.06.2016	YES	18.10.2017	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP F2 stock 2 (outcross)		95	
MR	D764	28.06.2016	yes	05.09.2016	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP F2 stock 2 (incross)		95	
MR	D765	01.07.2016	YES	16.03.2018	MR	septin 7a,7b CRISPR; kop:Lifeact-EGFP-nos3’UTR 100% +/- out cross (F1)	sept 7a, 7b	sept 7a,7b 38	
MR	D766	01.07.2016	YES	16.03.2018	MR	septin 7a,7b CRISPR; kop:Lifeact-EGFP-nos3’UTR 100% +/- out cross (F1)	sept 7a, 7b	sept 7a,7b 38	
MR	D767	01.07.2016	yes	30.09.2016	MR	septin 7a,7b CRISPR; kop:Lifeact-EGFP-nos3’UTR 100% +/-out cross (F1)	sept 7a, 7b	sept 7a,7b 38	
MR	D768	01.07.2016	yes	04.10.2016	MR	sept 7a.2; 7b.2 CRISPR Cry:kop-lifeact-EGFP-nos +/- outcross (F1)	sept 7a.2; 7b.2	sept 7a.2; 7b.2 / 38	
KT	D769	04.07.2016	YES	22.06.2018	KT	hs:Sdf1a, kop:EGFP_F_nos3’UTR cry, +/+		10 /24	
YK	D770	29.06.2016	YES	19.02.2019	BN	FBC26F1-4	fbc26	fbc26	
YK	D771	29.06.2016	YES	06.08.2017	BN	FBC26F1-5	fbc26	fbc26	
YK	D772	29.06.2016	YES	08.05.2018	BN	FBC26F1-17	fbc26	fbc26	
YK	D773	29.06.2016	YES	11.07.2018	BN	FBC26F1-6	fbc26	fbc26	
SY	D774	29.06.2016	YES	08.01.2018	SY	odyJ1049; tg(gsc:EGFP ); tg(kop:mCherry/F’-nos 3’UTR cmlc-EGFP)	ody	ody 6 /57	
AO	D775	29.06.2016	YES	12.12.2018	AO	Tol2 Kop mCherry Clip170 H nos 3’ UTR; cmlc EGFP F2 L4		101	
AO	D776	29.06.2016	YES	12.12.2018	AO	cry EGFP-f nos / Tol2 Kop mCherry Clip170 H nos 3’ UTR; cmlc EGFP F2 L2		24 /101	
MR	D777	05.07.2016	YES	16.03.2018	MR	sept 6.1 CRISPR/; ;Cry:kop-lifeact-EGFP-nos +/-100% F2-(F1 outcross) 		sept 6.1	
MR	D778	05.07.2016	YES	25.01.2018	MR	sept 6.1 CRISPR/; ;Cry:kop-lifeact-EGFP-nos +/-100% F2-(F2 incorss) 	sept 6	sept 6/38	
MR	D779	05.07.2016	YES	16.03.2018	MR	Tol2. nCas9n-glob3’UTR. cmlc-EGFPstock 4    F2 (out cross)		96	
MR	D780	05.07.2016	YES	16.03.2018	MR	Tol2. nCas9n-glob3’UTR. cmlc-EGFPstock 4    F2 (out cross)		96	
MR	D781	05.07.2016	YES	16.03.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP; cry-dsRed;kop:LifeAct-GFP-nos3'UTR 100% +/- F2 		38 /95	
MR	D782	05.07.2016	yes	12.09.2016	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP; cry-dsRed (stock 2) ;kop:LifeAct-GFP_nos3'UTR 100% +/- F2 		38 /95	
MR	D783	05.07.2016	YES	30.10.2017	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP 100% +/-     STOCK 2 F2		95	
MR	D784	05.07.2016	YES	18.12.2017	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP 100% +/-     STOCK 2 F2		95	
MR	D785	05.07.2016	YES	14.08.2017	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP 100% +/-     STOCK 2 F2		95	
MR	D786	05.07.2016	YES	24.04.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP 100% +/-     STOCK 2 F2		95	
SY	D787	05.07.2016	yes	17.08.2016	SY	odyJ1049; tg(kop:mCherry-F’.nos, cmlc:EGFP); tg(bactin:HA NLS tdPCP YFP globin, cryDsRed)	ody	ody 57 /92	
SY	D788	06.07.2016	YES	31.10.2018	SY	odyJ1049 -/-; tg(gsc:EGFP); tg(kop:mCherry-F’-nos 3’UTR, cmlc-EGFP)	ody	ody 6 /57	
ZL	D789	05.07.2016	YES	17.11.2018	FB	roy a9/a9; mitfa w2/w2; kdrl:EGFP	csp	Casper/84	
Antonio	D790	07.07.2016	YES	29.03.2017	Antonio	Elp3+/dHat-BRAF V600E- p53+/-	Elp3	Elp3	
SY	D791	15.07.2016	yes	17.08.2016	SY	odyJ1049; tg(kop:mCherry-F’.nos, cmlc:EGFP); tg(bactin:HA NLS tdPCP YFP globin, cryDsRed)	ody	ody 57 /92	
SY	D792	11.07.2016	YES	15.05.2018	SY	odyJ1049; tg(unc45b:tfp)rescued	ody	ody 123	
JB	D793	14.07.2016	YES	28.08.2016	JB	dazl mut#2 x incross x ZIWI GFP x hsp:MOresDazl-dazl3’UTR	dazl	dazl 36 /87	
SY	D794	18.07.2016	YES	12.11.2018	SY	odyJ1049 -/-; tg(gsc:EGFP); tg(kop:mCherry-F’-nos 3’UTR, cmlc-EGFP) rescued	ody	ody 6 /57	
DH	D795	22.07.2016	YES	31.10.2018	JB	ABxTL βactin:H2AmCherry +/-kop-EGFP-F-nos-cryDsRed +/-		24 /40	
SY	D796	19.07.2016	YES	16.10.2018	SY	odyJ1049; tg(unc45b:tfp)rescued	ody	ody 123	
YK	D797	21.07.2016	yes	14.09.2016	BN	fbc24 Cas9 F0	fbc24	fbc24	
YK	D798	21.07.2016	YES	29.06.2017	BN	fbc30 Cas9 F0	fbc30	fbc30	
MR	D799	21.07.2016	YES	16.03.2018	MR	septin 9a sw4  100%-/-	sept9a.sw4	sept9a.sw4	
MR	D800	21.07.2016	YES	16.03.2018	MR	septin 9a sw4 100%-/-	sept9a.sw4	sept9a.sw4	
MR	D801	21.07.2016	YES	17.12.2017	MR	septin 9a sw4 ;sept7a2.3; 7b.2.3 CRISPR (F1) incross	sept9a.sw4	sept9a.sw4	
MR	D802	23.07.2016	YES	18.12.2017	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP 100% +/-     STOCK 2 (F2)		95	
MR	D803	23.07.2016	YES	16.03.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP 100% +/-     STOCK 2 (F2)		95	
MR	D804	23.07.2016	YES	16.03.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP 100% +/-     STOCK1 (F3)		95	
SY	D805	25.07.2016	YES	24.04.2018	SY	odyJ1049; tg(unc45b:tfp)rescued	ody	ody 123	
SY	D806	27.07.2016	YES	24.04.2018	SY	odyJ1049 -/-; tg(gsc:EGFP); tg(kop:mCherry-F’-nos 3’UTR, cmlc-EGFP) rescued	ody	ody 6 /57	
SY	D807	27.07.2016	YES	24.04.2018	SY	odyJ1049 -/-; tg(gsc:EGFP); tg(kop:mCherry-F’-nos 3’UTR, cmlc-EGFP) rescued	ody	ody 6 /57	
MR	D808	01.08.2016	YES	16.03.2018	MR	sept 7b2.3 CRISPR; kop:Lifeact-EGFP-nos3’UTR 100% +/-    (F1) incross	sept 7b.2.3	sept 7b.2.3/ 38	
YK	D809	28.07.2016	yes	14.09.2016	BN	fbc2 F0	fbc2	fbc2	
DS	D810	26.07.2016	YES	22.03.2018	DS	ody-/-tg(kop:mCherry/F’-nos 3’UTR cmlc-EGFP) +/-*miles apart+/-	mil	ody/mil 57	
DS	D811	26.07.2016	YES	22.03.2018	DS	ody-/-tg(kop:mCherry/F’-nos 3’UTR cmlc-EGFP) +/-*miles apart+/-	mil	ody/mil 57	
KT	D812	03.08.2016	YES	22.06.2018	KT	hsp:sdf1a kop:EGFP-F.nos cry		10 /24	
KT	D813	03.08.2016	YES	05.09.2017	KT	hsp:sdf1a kop:EGFP-F.nos cry		10 /24	
SY	D814	05.08.2016	YES	24.04.2018	SY	odyJ1049 -/-; tg(gsc:EGFP); tg(kop:mCherry-F’-nos 3’UTR, cmlc-EGFP) rescued	ody	ody 6 /57	
TL	D815	05.08.2016	YES	20.10.2017	AA	kop.mTFP1-Septin9a. nos 3’ UTR; cmlc EGFP x kop:lifeact-mCherry.nos-cry.DsRed		106 /118	
TL	D816	05.08.2016	yes	27.09.2016	AA	Cry:HSP-mutSDF1a-mCherry-globin+/-		41	
Antonio	D817	09.08.2016	YES	21.09.2018	Antonio	FTO Δ7 incross (+/-, -/-)	FTOΔ7	FTO Δ7	
UJ	D818	11.08.2016	YES	10.04.2017	UJ	AB X TL		AB x TL	
UJ 	D819	11.08.2016	YES	09.02.2018	UJ 	AB X TL		AB X TL	
EM	D820	15.08.2016	YES	10.01.2018	DS	ody-/-J1049 (resuced)	ody	ody	
KT	D821	16.08.2016	YES	20.03.2017	KT	kop:tFP-nos3'UTR F0		139	
KT	D822	18.08.2016	YES	22.06.2018	KT	kop:tFP-nos3'UTR F0		139	
EM	D823	17.08.2016	YES	16.10.2018	EM	ody+/-J1049 x cry EGFP-f-nos3’UTR 	ody	ody 24	
ZL	D824	16.08.2016	YES	14.06.2018	ZL	Tol-1111-EGFP-F-nos-cry +/- injected with CRISPR for ccdc130(exon5), outcross	ccdc	ccdc 24	
YK	D825	18.08.2016	YES	16.10.2018	BN	fbc2 F0	fbc2	fbc2	
YK	D826	18.08.2016	yes	14.09.2016	BN	FBC3 F0	fbc3	fbc3	
YK	D827	18.08.2016	YES	08.05.2018	BN	fbc16 F0	fbc16	fbc16	
YK	D828	18.08.2016	yes	14.09.2016	BN	fbc24 F0	fbc24	fbc24	
YK	D829	19.08.2016	yes	14.09.2016	BN	fbc33 F0	fbc33	fbc33	
YK	D830	19.08.2016	yes	14.09.2016	BN	fbc34 F0	fbc34	fbc34	
KT	D831	23.08.2016	YES	19.09.2018	KT	kop.Dnd.gfp.flag.dnd3'UTR cryDsRed		30	
KT	D832	23.08.2016	YES	27.08.2018	KT	kop.Dnd.gfp.flag.dnd3'UTR cryDsRed		30	
KT	D833	23.08.2016	YES	18.04.2018	KT	kop.Dnd.gfp.flag.dnd3'UTR cryDsRed		30	
KT	D834	23.08.2016	YES	18.04.2018	KT	kop.Dnd.gfp.flag.dnd3'UTR cryDsRed		30	
KT	D835	23.08.2016	YES	21.03.2018	JP	incross D716, cry:EGFP-F-nos	hsp90	hsp90 24	
KT, JP	D836	25.08.2016	yes	09.01.2017	KT	line 1, incross, F2, cry:EGFP-F-nos	sod2	sod 24	
KT, JP	D837	25.08.2016	yes	12.09.2016	KT	line 1x line 3, incross, F2, cry:EGFP-F-nos	sod2	sod 24	
KT, JP	D838	25.08.2016	yes	12.09.2016	KT	line 1x line 3, incross, F2, cry:EGFP-F-nos	sod2	sod 24	
KT, JP	D839	25.08.2016	yes	12.09.2016	KT	line 1x line 3, incross, F2, cry:EGFP-F-nos	sod2	sod 24	
MO	D840	24.08.2016	YES	11.07.2018	CG	med NY054-2 -/-;cry.kop-EGFP-lifeact-nos	med	med 38	
ZL	D841	25.08.2016	YES	14.06.2018	ZL	Tol-1111-EGFP-F-nos-cry +/- injected with CRISPR for ccdc130(exon5), outcross	ccdc	ccdc 24	
ZL	D842	25.08.2016	yes	12.09.2016	ZL	Tol-1111-EGFP-F-nos-cry +/- injected with CRISPR for ccdc130(exon5), outcross	ccdc	ccdc 24	
KT, JP	D843	29.08.2016	yes	19.01.2017	KT	line 3, incross, F2, cry:EGFP-F-nos	sod2	sod 24	
KT, JP	D844	29.08.2016	YES	23.08.2017	KT	line 3, incross, F2, cry:EGFP-F-nos	sod2	sod 24	
TL	D845	25.08.2016	YES	14.05.2018	AA	Cry:HSP-mutSDF1a-mCherry-globin+/-		41	
TL	D846	25.08.2016	YES	14.05.2018	AA	Cry:HSP-mutSDF1a-mCherry-globin+/-		41	
TL	D847	25.08.2016	YES	14.05.2018	AA	Cry:HSP-mutSDF1a-mCherry-globin+/-		41	
EM	D848	25.08.2016	YES	22.11.2016	EM	AB Dresden		AB	
MR	D849	31.08.2016	YES	09.01.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP(STOCK 3) F2		95	
MR	D850	31.08.2016	YES	09.01.2018	MR	Tol2.nCas9n-nos3’UTR.cmlc-EGFP(STOCK 3) F2		95	
MR	D851	05.09.2016	YES	16.03.2018	MR	sept 7b.2 CRISPR; Cry:kop-lifeact-EGFP-nos +/- (F1) incross	sept 7b.2	sept 7b.2 /38	
MR	D852	05.09.2016	YES	01.08.2018	MR	sept 7b.2 CRISPR ; Cry:kop-lifeact-EGFP-nos +/- (F1) outcross	sept 7b.2	sept 7b.2 /38	
MR	D853	05.09.2016	YES	15.06.2018	MR	sept 7a.2 CRISPR ;Cry:kop-lifeact-EGFP-nos +/-(F1) outcross	sept 7a.2	sept 7a.2 / 38	
MR	D854	05.09.2016	YES	01.08.2018	MR	sept9a.sw4 -/-sept 7b.2 CRISPR (F1) 	sept 9a.sw4 ; sept 7b.2	sept9a.sw4;7b.2	
MR	D855	05.09.2016	YES	29.06.2018	MR	sept9a.sw4 -/-sept 7a.2, 7b.2 CRISPR (F1) outcross	sept 9a.sw4 ;sept7a.2; sept7b.2	sept9a;7a.2;7b.2	
